tuning,voice
MBIRA_CHISANZHI4,PRE2:Fast_Oohs
XYLOPHONE3,PRE2:VoxPad
MBIRA_BUDONGO,PRE2:ObSoft
MBIRA_MANG_BARU,PRE3:Doomed
MADIMBA,PRE2:WarmSweepy
MBIRA_EKEMBE2,PRE3:BPFx
XYLOPHONE3,PRE2:Fast_Oohs
MBIRA_CHISANZHI4,PRE3:MICHINOKU
MBIRA_LIMBA,PRE2:Bronx
MBIRA_KALIMBA,PRE3:Romance
MBIRA_KALIMBA,PRE2:Airy_Nylon
MBIRA_KATIMA,PRE3:MICHINOKU
MBIRA_CHISANZHI4,PRE3:NoizRezz
MBIRA_SANSI,PRE3:Wide_Sweep
MADIMBA,PRE2:Pure_Syn
MBIRA_CHISANZHI4,PRE2:WarmSweepy
BALAFON7,PRE3:VoxWaves
MBIRA_EKEMBE2,PRE2:Airy_Nylon
MBIRA_ISANZO,PRE2:X-Shower
MBIRA_SANSI2,PRE3:VoxWaves
