tuning,voice
KEBYAR-S,PRE2:PWM_Pad
SLENDRO_Q13,PRE2:Pop_Synth
SLENDRO_ANG2,PRE2:Analog
PELOG19,PRE2:PWM_Pad
SLENDRO5_2,PRE2:Fantasy
SLENDRO11,PRE2:Airy_Nylon
SLENDROD1,PRE2:Bell_Choir
SLENDRO_KY1,PRE2:Bell_Choir
GENGGONG,PRE2:PWM_Pad
DEGUNG2,PRE2:Heavenly
SLENDRO_PC,PRE2:Glasschoir
SLENDRO,PRE2:Analog
SLENDRO_ANG2,PRE3:PW-EMMY
DEGUNG-SEJATI,PRE3:FatSawPad
SLENDRO10,PRE3:FrozenPad
SLENDRO_7_5,PRE2:X-Shower
PELOG16,PRE3:Doomed
SURUPAN_MELOG,PRE3:X-fade_Pad
SOROG9,PRE2:VoxPad
DEGUNG2,PRE2:StackChoir
DEGUNG2,PRE3:Circle
SLENDRO8,PRE3:Circle
SURUPAN_MADENDA,PRE3:MultiPulse
SELISIR3,PRE2:Pop_Synth
