tuning,voice
SURUPAN_MIRING,PRE2:Violin
SURUPAN_MELOG,PRE2:Violin
DEGUNG4,PRE2:Ens_Mix
GENGGONG,PRE2:Chamber
SLENDRO_PC,PRE2:Small_Ens
SLENDRO_A1,PRE2:The_Pizz
SLENDRO_7_1,PRE2:Ensemble
RENTENG1,PRE2:Hard_Ens
SLENDROC2,PRE2:Cello_Duet
SLENDROC2,PRE2:Violin
SLENDROB3,PRE2:Chamber
MADENDA-SEJATI,PRE2:SoloSpicat
SLENDRO,PRE2:Ensemble
SELISIR4,PRE2:Kokyu
SLENDRO_7_6,PRE2:BigSymphny
TRAWAS,PRE2:2_Solos
SURUPAN_MELOG,PRE2:The_Pizz
SLENDRO9,PRE2:JP_Strings
SLENDRO10,PRE2:Polystring
PELOG3,PRE2:The_Pizz
