tuning,voice
05-19,PRE1:PowerGrand
05-22,PRE1:Jazz_Grand
05-24,PRE1:Dark_Grand
BALAFON7,PRE1:CP_80
CHIN_5,PRE1:CP80&EP
CHIN_SIENTSU,PRE1:Yama_EP's
CONS9,PRE1:BalladKeys
DEGUNG-SEJATI,PRE1:80s_Layer
DEGUNG1,PRE1:Piano&Strg
DEGUNG2,PRE1:Piano_Ooh
DEGUNG3,PRE1:PianoBakup
DEGUNG4,PRE1:Max_Tine
DEGUNG5,PRE1:Early_Fusn
DEGUNG6,PRE1:Vintage'74
DIMTETB,PRE1:Sweetness
DIV_FIFTH1,PRE1:DynoStrait
DIV_FIFTH2,PRE1:ChorusHard
DIV_FIFTH3,PRE1:VintagCase
DIV_FIFTH4,PRE1:ChorusDyno
DIV_FIFTH5,PRE1:80th_Boost
FAREY3,PRE1:Contempo
FJ-5TET,PRE1:Early_70's
GENGGONG,PRE1:Tonight
GOLDEN_5,PRE1:E.PianoPad
HARRISON_5,PRE1:TX802
HARRISON_5_1,PRE1:ChorusBel
HARRISON_5_3,PRE1:BellDX
HARRISON_5_4,PRE1:Dark_DX
HARRISON_MIN,PRE1:GS_Tines
HARRISON_MIX1,PRE1:Rich_FM
HARRISON_MIX2,PRE1:FilteredDX
HARRISON_MIX3,PRE1:Ice_Piano
HARRISON_MIX4,PRE1:WurliTrem
HEXANY15,PRE1:WurliAmped
HEXANY16,PRE1:TouchClavi
HEXANY17,PRE1:SuperClavi
HEXANY18,PRE1:StereoClav
HEXANY19,PRE1:HollowClav
HEXANY22,PRE1:Nu_Phasing
HEXANY23,PRE1:Digi_Clavi
HEXANY24,PRE1:PulseClavi
HEXANY25,PRE1:Twinkle
HEXANY26,PRE1:Stick_Bell
HIRAJOSHI,PRE1:Bell_Chiff
HIRAJOSHI2,PRE1:FngrCymbl
HO_MAI_NHI,PRE1:ChorusBell
ISFAHAN_5,PRE1:Tibetan
ISLAMIC,PRE1:EastBell
JEMBLUNG1,PRE1:Gamelan
JEMBLUNG2,PRE1:IceBells
JI_5COH,PRE1:Digi
KEBYAR-B,PRE1:Marimbell
KEBYAR-S,PRE1:16+8+5&1/3
KEBYAR-T,PRE1:Petit
KEEN1,PRE1:Glassy
KEEN2,PRE1:Jazzy
KEEN3,PRE1:Slow_Jam
KEEN4,PRE1:Greasy
KEEN5,PRE1:Swishie
KEEN6,PRE1:Clean
KOREA_5,PRE1:Full/CVib
MADENDA-SEJATI,PRE1:Mellow
MADIMBA,PRE1:Nu_Shade
MALKAUNS,PRE1:Cool_Cat
MBIRA_BUDONGO,PRE1:Flutey
MBIRA_BUDONGO2,PRE1:LeftManual
MBIRA_CHISANZHI4,PRE1:DrawContrl
MBIRA_EKEMBE2,PRE1:Rocky
MBIRA_IKEMBE,PRE1:Expensive
MBIRA_ILIMBA,PRE1:Progressy
MBIRA_ISANZO,PRE1:Crunchy
MBIRA_KALIMBA,PRE1:Early_Bird
MBIRA_KATIMA,PRE1:Jazz_Split
MBIRA_KILIYO,PRE1:GosplSplit
MBIRA_KOMBI,PRE1:Tradi
MBIRA_LIMBA,PRE1:Sunday
MBIRA_MANG_BARU,PRE1:BreathPipe
MBIRA_MBELE_KO_FUKU,PRE1:Fluty_Pipe
MBIRA_NATINE,PRE1:Reedy_Pipe
MBIRA_SANSI,PRE1:OohPipes
MBIRA_SANSI2,PRE1:Flamenco
MELOG,PRE1:Nylon_Jam
MINOR_5,PRE1:BriteSteel
MIRING,PRE1:Strums
MIRING1,PRE1:Big_Steel
MIRING2,PRE1:Folk_Steel
NEUTR_PENT1,PRE1:18_String
NEUTR_PENT2,PRE1:HarpsiGtr
OGR5,PRE1:HybridGtr
OGR5A,PRE1:JazzGTmelo
OGR5B,PRE1:Velo_Jazz
OGR5C,PRE1:FM_Jazz
OLYMPOS,PRE1:For_Funk
PELOG16,PRE1:Spanky
PELOG17,PRE1:Funkiest
PELOG18,PRE1:Vin
PELOG19,PRE1:1CoilChors
PELOG3,PRE1:CleanChors
PELOG_JC,PRE1:ChorusPlus
PELOG_MAL,PRE1:SmoothChor
PENTA_OPT,PRE1:TexBoogie
PIPEDUM_5A,PRE1:Rockabilly
PRIME_5,PRE1:65_Combo
PYGMIE,PRE1:VinTremolo
RENTENG1,PRE1:Crunchoid
RENTENG2,PRE1:DynamicAmp
RENTENG4,PRE1:Feedback
SABA_PENTACHORD_19-LIMIT,PRE1:VOODOOMAN
SALUNDING,PRE1:BlueLead
SCHULTER_PEL,PRE1:MeloRckLd
SEJATI,PRE1:MetalMute
SELISIR3,PRE1:OverTheTop
SELISIR4,PRE1:RoundWound
SELISIR5,PRE1:FingerMan
SELISIR6,PRE1:PrecRW
SLENDRO,PRE1:PrecFW
SLENDRO10,PRE1:HybridBass
SLENDRO11,PRE1:Stand_Up
SLENDRO2,PRE1:Fretless
SLENDRO4,PRE1:Slap&Fx
SLENDRO5_1,PRE1:BriteSlap
SLENDRO5_2,PRE1:Velo_Bass
SLENDRO5_4,PRE1:Bs+Cym+Vb
SLENDRO6,PRE1:Boogie
SLENDRO8,PRE1:MiniDetune
SLENDRO9,PRE1:Long_Spit
SLENDROB1,PRE1:Tack_Bass
SLENDROB2,PRE1:Fat_Octave
SLENDROB3,PRE2:Violin
SLENDROC1,PRE2:Viola
SLENDROC2,PRE2:Cello
SLENDROC3,PRE2:SoloSpicat
SLENDROC4,PRE2:2_Solos
SLENDROC5,PRE2:Cello_Duet
SLENDROD1,PRE2:Trio
SLENDRO_7_1,PRE2:Chamber
SLENDRO_7_2,PRE2:Small_Ens
SLENDRO_7_3,PRE2:Medium_Ens
SLENDRO_7_4,PRE2:Ens_Mix
SLENDRO_7_5,PRE2:Ensemble
SLENDRO_7_6,PRE2:Hard_Ens
SLENDRO_A1,PRE2:Background
SLENDRO_ANG,PRE2:BigSymphny
SLENDRO_ANG2,PRE2:Str/Horns
SLENDRO_DUDON,PRE2:Stringy
SLENDRO_KY1,PRE2:Polystring
SLENDRO_M,PRE2:JP_Strings
SLENDRO_PA,PRE2:MournStrgs
SLENDRO_PB,PRE2:The_Pizz
SLENDRO_PC,PRE2:Fanfare
SLENDRO_Q13,PRE2:Hi_Brass
SLENDRO_S1,PRE2:Fat_Sect
SLENDRO_UDAN,PRE2:Sforzando
SLENDRO_WOLF,PRE2:Symphony
SMITHGW72F,PRE2:Big_Band
SMITHGW72G,PRE2:Big_Band
SOROG9,PRE2:SaxBigBand
SPON_MONT,PRE2:MedmBrass
SPON_TERP,PRE2:Soft_Brass
SURUPAN_AJENG,PRE2:SoftVeloBr
SURUPAN_DEGUNG,PRE2:TrpRomantc
SURUPAN_MADENDA,PRE2:Phase_Mute
SURUPAN_MELOG,PRE2:Legend
SURUPAN_MIRING,PRE2:Trombone
SURUPAN_X,PRE2:Flugelleaz
SURUPAN_Y,PRE2:F_Horn
SWET1,PRE2:SlowAttack
SWET2,PRE2:Strng/Bras
SWET3,PRE2:Movie_Ens
SWET4,PRE2:Powered
SWET5,PRE2:ObStuff
SWET6,PRE2:Prophy
TEMP5EBF,PRE2:AnalogBras
TEMP5EBS,PRE2:After_1984
TRANH,PRE2:Soprano
TRANH2,PRE2:Alto_Vib
TRAWAS,PRE2:SaxEnsembl
XYLOPHONE3,PRE2:Tenor_Sax
