tuning,voice
SLENDRO_7_3,PRE3:Gently
PELOG17,PRE3:Romance
SLENDRO4,PRE2:Bronx
SLENDRO11,PRE2:MovingPad
SLENDRO_A1,PRE3:VoxWaves
SLENDRO_7_4,PRE2:Bronx
SLENDRO_PB,PRE2:Square
PELOG3,PRE2:Square
SLENDROB1,PRE3:PW-EMMY
PELOG17,PRE3:Sunbeams
SLENDRO11,PRE3:Gently
SLENDROC2,PRE3:Dreamspher
PELOG17,PRE2:Tamburax
SLENDRO10,PRE3:LazySweep
SLENDRO_7_3,PRE2:Fast_Oohs
SLENDROC4,PRE2:IndianFlai
SLENDRO11,PRE3:Warming
SLENDROD1,PRE3:BPFx
SLENDRO_KY1,PRE3:X-fade_Pad
PELOG16,PRE3:Wide_Sweep
