tuning,voice
SLENDRO_7_5,PRE1:WurliAmped
SLENDRO_ANG2,PRE1:Sweetness
SLENDRO_M,PRE1:TouchClavi
SLENDRO_S1,PRE1:Vintage'74
SLENDRO_ANG2,PRE1:GS_Tines
SLENDRO_Q13,PRE1:Vintage'74
SLENDRO10,PRE1:CP80&EP
SLENDROC5,PRE1:StereoClav
SLENDRO_S1,PRE1:DynoStrait
SLENDRO_7_6,PRE1:DynoStrait
SLENDRO_Q13,PRE1:PulseClavi
SLENDRO4,PRE1:StereoClav
SLENDROC5,PRE1:ChorusDyno
SLENDRO8,PRE1:Digi_Clavi
SLENDRO_7_2,PRE1:BellDX
SLENDRO_7_3,PRE1:FilteredDX
SLENDRO,PRE1:DynoStrait
SLENDRO6,PRE1:Digi_Clavi
SLENDRO9,PRE1:Ice_Piano
SLENDRO_Q13,PRE1:Digi_Clavi
