tuning,voice
SLENDRO8,PRE3:Zosma
SLENDRO4,PRE2:SinePad
SLENDROC2,PRE3:Sunbeams
SLENDRO5_2,PRE3:Esmeralda
SLENDRO11,PRE2:Antares
SLENDROC2,PRE2:SimpleSaws
SLENDRO_Q13,PRE2:Retro
SLENDRO_M,PRE2:SinePad
SLENDRO_DUDON,PRE3:MultiPulse
SLENDRO6,PRE3:X-fade_Pad
SLENDRO_7_1,PRE2:IndianFlai
SLENDRO9,PRE2:PeaceVox
SLENDRO5_2,PRE3:Mira
SLENDRO4,PRE3:FatSawPad
SLENDRO6,PRE3:Zosma
SLENDRO_S1,PRE3:PW-EMMY
SLENDRO_PA,PRE2:Antares
SLENDRO_M,PRE2:Pop_Synth
SLENDRO_M,PRE3:Sunbeams
SLENDRO5_4,PRE2:Fantasy
SLENDROB2,PRE2:MovingPad
SLENDRO_7_5,PRE2:PeaceVox
SLENDRO_ANG2,PRE3:Gently
SLENDRO_PB,PRE2:Sweetland
