tuning,voice
SLENDRO,PRE2:X-Shower
SLENDRO5_4,PRE2:ObSoft
SLENDRO_PB,PRE2:Analog
SLENDRO10,PRE2:Retro
SLENDRO4,PRE2:Fantasy
SLENDRO8,PRE3:PW-EMMY
KOREA_5,PRE2:Tamburax
SLENDRO4,PRE3:FrozenPad
SLENDROB2,PRE2:Airy_Nylon
SLENDRO_7_5,PRE3:MICHINOKU
HARRISON_MIN,PRE2:Heavenly
MBIRA_KALIMBA,PRE2:Glasschoir
HARRISON_MIN,PRE3:Doomed
SLENDRO_7_6,PRE3:Doomed
SLENDROC4,PRE3:PW-EMMY
HARRISON_5,PRE3:Circle
SLENDRO_UDAN,PRE2:StackChoir
SLENDRO_S1,PRE2:Bell_Choir
SLENDROC1,PRE2:Glasschoir
SLENDROB1,PRE2:WarmSweepy
HIRAJOSHI,PRE3:Shadow
CHIN_SIENTSU,PRE2:NeoCrystal
SLENDRO5_1,PRE3:PW-EMMY
HARRISON_5_3,PRE2:Fast_Oohs
