tuning,voice
MBIRA_IKEMBE,PRE2:Chamber
MBIRA_MANG_BARU,PRE2:Small_Ens
MBIRA_MANG_BARU,PRE2:MournStrgs
DEGUNG6,PRE2:Violin
DEGUNG-SEJATI,PRE2:Viola
MBIRA_BUDONGO,PRE2:WindOrch
HARRISON_MIN,PRE2:Ensemble
PELOG17,PRE2:Cello
MBIRA_MBELE_KO_FUKU,PRE2:Kokyu
MBIRA_KILIYO,PRE2:WindOrch
MBIRA_KATIMA,PRE2:Cello
MBIRA_MANG_BARU,PRE2:Medium_Ens
DEGUNG6,PRE2:Cello
MBIRA_CHISANZHI4,PRE2:Trio
DEGUNG6,PRE2:Background
PELOG_JC,PRE2:SoloSpicat
DEGUNG2,PRE2:Stringy
PELOG18,PRE2:Viola
DEGUNG3,PRE2:SoloSpicat
MBIRA_MBELE_KO_FUKU,PRE2:JP_Strings
